URL,company_name,sector,subsector,founded_year,hq_country,hq_state,hq_city,is_usa,n_investors,total_funding_usd
https://forgeglobal.com/mm-lafleur_stock/,M.M.LaFleur,Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2011,United States,NY,New York,True,0,8950000.0
https://forgeglobal.com/mobcrush_stock/,Mobcrush,Consumer & Lifestyle,Gaming,2014,United States,CA,Santa Monica,True,0,35900000.0
https://forgeglobal.com/mobilecoin_stock/,Sentz,Fintech,Payments,2017,United States,CA,Sacramento,True,0,87680000.0
https://forgeglobal.com/mocana_stock/,Mocana,Enterprise Software,Cybersecurity,2002,United States,CA,San Francisco,True,4,30000000.0
https://forgeglobal.com/moda-operandi_stock/,Moda Operandi,Consumer & Lifestyle,E-commerce,2010,United States,NY,New York,True,6,346850000.0
https://forgeglobal.com/modal-labs_stock/,Modal Labs,Enterprise Software,Data Intelligence,2021,United States,NY,New York,True,11,465700000.0
https://forgeglobal.com/mode_stock/,Mode,Enterprise Software,Data Intelligence,2013,United States,TX,Dallas,True,0,83309999.0
https://forgeglobal.com/model-ml_stock/,Model ML,Fintech,Fintech Software,2023,United States,CA,San Francisco,True,0,79144584.19
https://forgeglobal.com/modern-animal_stock/,Modern Animal,Healthcare,Healthcare Providers & Services,2018,United States,CA,Los Angeles,True,0,239650000.0
https://forgeglobal.com/modern-health_stock/,Modern Health,Healthcare,Digital Health,2017,United States,CA,San Francisco,True,0,170574995.09
https://forgeglobal.com/modern-meadow_stock/,Modern Meadow,Industrial,Materials,2011,United States,NJ,Nutley,True,6,266260000.0
https://forgeglobal.com/modern-mill_stock/,Modern Mill,Industrial,Construction,2018,United States,MO,McComb,True,0,
https://forgeglobal.com/modern-treasury_stock/,Modern Treasury,Fintech,Payments,2018,United States,CA,San Francisco,True,0,133280000.0
https://forgeglobal.com/modernizing-medicine_stock/,ModMed,Healthcare,Healthcare Software,2010,United States,FL,Boca Raton,True,0,336580000.0
https://forgeglobal.com/modretro_stock/,ModRetro,Consumer & Lifestyle,Consumer Electronics,2023,United States,CA,Irvine,True,0,164298784.37
https://forgeglobal.com/modsy_stock/,Modsy,Real Estate,Other Real Estate,2015,United States,CA,San Francisco,True,0,
https://forgeglobal.com/modular_stock/,Modular,Enterprise Software,Software Development,2022,United States,CA,Palo Alto,True,5,377890000.0
https://forgeglobal.com/moengage_stock/,MoEngage,Enterprise Software,Sales & Marketing /​ Adtech,2014,United States,CA,San Francisco,True,0,310796365.21
https://forgeglobal.com/mofilm_stock/,MOFILM,Consumer & Lifestyle,Entertainment,2009,United States,NY,New York,True,0,
https://forgeglobal.com/mojo-vision_stock/,Mojo Vision,Industrial,Augmented /​ Virtual Reality,2015,United States,CA,Saratoga,True,12,135970000.0
https://forgeglobal.com/moleaer_stock/,Moleaer,Industrial,Manufacturing,2016,United States,CA,Hawthorne,True,0,130831446.81
https://forgeglobal.com/molekule_stock/,Molekule,Consumer & Lifestyle,Consumer Electronics,2015,United States,FL,Palm Beach Gardens,True,0,282470000.0
https://forgeglobal.com/mollie_stock/,Mollie,Fintech,Other Fintech,2004,Netherlands,,Amsterdam,False,7,
https://forgeglobal.com/moloco_stock/,MOLOCO,Enterprise Software,Sales & Marketing /​ Adtech,2013,United States,CA,Redwood City,True,5,229240000.0
https://forgeglobal.com/moma-therapeutics_stock/,MoMa Therapeutics,Healthcare,Biotech & Pharma,2020,United States,MA,Cambridge,True,0,
https://forgeglobal.com/moment_stock/,Moment,Fintech,Fintech Software,2022,United States,NY,New York,True,0,134914999.5
https://forgeglobal.com/momentus-space_stock/,Momentus Space,Industrial,Aerospace & Defense,2017,United States,CA,San Jose,True,0,36960000.0
https://forgeglobal.com/monad_stock/,Monad,Fintech,Blockchain Software,2022,United States,NY,New York,True,10,244002848.85
https://forgeglobal.com/monarch-money_stock/,Monarch Money,Fintech,Personal Finance,2018,United States,CA,Covina,True,8,95479738.58
